,State,case_Total,case_White,case_Black,case_Hispanic,case_Asian,case_Indian,death_Total,death_White,death_Black,death_Hispanic,death_Asian,death_Indian
0,AK,0.085,0.043,0.099,0.065,0.058,0.115,0.00043,0.0003,0.00059,0.00027,0.00069,0.00105
2,AR,0.111,0.098,0.114,0.151,0.064,0.064,0.00182,0.00198,0.00176,0.00082,0.00079,0.00108
4,AZ,0.116,0.08,0.084,0.108,0.052,0.147,0.0023,0.0021,0.00141,0.00208,0.00095,0.00493
5,CA,0.091,0.039,0.054,0.099,0.033,0.065,0.0014,0.00118,0.00158,0.0016,0.00107,0.00133
6,CO,0.078,0.048,0.06,0.098,0.036,0.086,0.00107,0.00102,0.0009,0.00099,0.00064,0.00126
7,CT,0.083,0.038,0.057,0.071,0.019,0.07,0.00223,0.00239,0.00262,0.00134,0.00052,0.00054
11,GA,0.099,0.06,0.067,0.084,0.042,0.026,0.00174,0.00167,0.00164,0.00084,0.00071,0.00051
14,IA,0.111,0.077,0.085,0.106,0.047,0.101,0.00182,0.00197,0.00112,0.00072,0.00085,0.00216
15,ID,0.099,0.07,0.088,0.077,0.056,0.129,0.00107,0.00123,0.00078,0.00082,0.00079,0.0022
16,IL,0.097,0.063,0.066,0.101,0.039,0.132,0.00186,0.00162,0.00218,0.00151,0.00106,0.0023
18,KS,0.105,0.099,0.093,0.115,0.069,0.119,0.00171,0.00175,0.00153,0.00091,0.0008,0.00217
19,KY,0.095,0.079,0.078,0.109,0.052,0.17,0.00112,0.00109,0.00108,0.00045,0.00033,0.00082
21,MA,0.089,0.047,0.076,0.153,0.036,0.042,0.00247,0.00256,0.00229,0.00156,0.00092,0.00092
23,ME,0.035,0.03,0.127,0.032,0.035,0.014,0.00054,0.0005,0.00056,0.00027,0.00021,0.00052
24,MI,0.067,0.052,0.057,0.066,0.033,0.076,0.00171,0.00153,0.00278,0.00093,0.00057,0.00168
25,MN,0.089,0.075,0.11,0.143,0.079,0.091,0.00119,0.00125,0.0009,0.00066,0.00095,0.00177
26,MO,0.081,0.054,0.063,0.068,0.035,0.044,0.00137,0.00109,0.0016,0.00067,0.00055,0.00057
28,MS,0.104,0.087,0.091,0.076,0.049,0.201,0.00237,0.00226,0.00248,0.0007,0.00063,0.01036
29,MT,0.097,0.071,0.078,0.061,0.043,0.13,0.00133,0.00096,0.00017,0.00065,0.00013,0.00326
30,NC,0.086,0.07,0.069,0.12,0.046,0.099,0.00113,0.00113,0.00125,0.00081,0.00041,0.00112
32,NE,0.108,0.071,0.057,0.111,0.062,0.085,0.00112,0.00092,0.00065,0.00076,0.00066,0.00176
33,NH,0.058,0.033,0.058,0.081,0.03,,0.0009,0.00094,0.00074,0.00058,0.00034,
35,NM,0.092,0.043,0.067,0.087,0.051,0.172,0.00187,0.00146,0.0014,0.00146,0.00082,0.00602
36,NV,0.098,0.075,0.081,0.12,0.094,0.055,0.00166,0.00188,0.00168,0.00135,0.00231,0.00169
38,OH,0.086,0.065,0.074,0.068,0.052,0.067,0.00156,0.00168,0.00156,0.00067,0.00053,0.00101
39,OK,0.112,0.098,0.088,0.101,0.1,0.142,0.00118,0.00131,0.00103,0.00055,0.00072,0.00135
40,OR,0.038,0.025,0.052,0.074,0.025,0.071,0.00056,0.00049,0.00063,0.00038,0.0003,0.00105
43,RI,0.126,0.083,0.129,0.183,0.069,0.134,0.0025,0.00253,0.00172,0.00122,0.00109,0.00043
45,SD,0.133,0.122,0.134,0.132,0.133,0.189,0.00223,0.00215,0.00037,0.00073,0.00145,0.00371
46,TN,0.118,0.1,0.094,0.129,0.058,0.06,0.00174,0.00179,0.00183,0.0008,0.00056,0.00052
48,UT,0.119,0.097,0.153,0.17,0.098,0.161,0.00063,0.00054,0.00055,0.00062,0.00081,0.00232
49,VA,0.072,0.047,0.064,0.098,0.036,0.056,0.00117,0.0012,0.00147,0.00081,0.00061,0.00176
51,VT,0.027,0.023,0.091,0.035,0.077,0.005,0.00035,0.00033,0.0003,0.0,0.00052,0.00025
52,WA,0.046,0.019,0.039,0.065,0.019,0.039,0.00068,0.00071,0.00057,0.00062,0.00058,0.0013
53,WI,0.11,0.105,0.116,0.158,0.092,0.203,0.00125,0.00133,0.00137,0.00097,0.00075,0.00259
55,WY,0.097,0.06,0.079,0.072,0.083,0.183,0.00121,0.00128,0.00037,0.00102,0.00176,0.00415
